npn,resolucion_predio_id,codigo
761470102000013010011000000000,23864,Habitacional
761470102000013010013000000000,23864,Habitacional
761470102000013010014000000000,23864,Habitacional
761470102000013010015000000000,23864,Habitacional
761470102000013010016000000000,23864,Habitacional
761470102000013010017000000000,23864,Habitacional
761470102000013010018000000000,23864,Habitacional
761470102000013010019000000000,23864,Habitacional
761470102000013010020000000000,23864,Habitacional
761470102000013010021000000000,23864,Habitacional
761470102000013010022000000000,23864,Habitacional
761470102000013010023000000000,23864,Habitacional
761470102000013010024000000000,23864,Habitacional
761470102000013010025000000000,23864,Habitacional
761470102000013010026000000000,23864,Habitacional
761470102000013020001000000000,23864,Lote urbanizado no construido
761470102000013020002000000000,23864,Lote urbanizado no construido
761470102000013020003000000000,23864,Lote urbanizado no construido
761470102000013020004000000000,23864,Lote urbanizado no construido
761470102000013020005000000000,23864,Lote urbanizado no construido
761470102000013020006000000000,23864,Lote urbanizado no construido
761470102000013020007000000000,23864,Lote urbanizado no construido
761470102000013020008000000000,23864,Lote urbanizado no construido
761470102000013020009000000000,23864,Lote urbanizado no construido
761470102000013020010000000000,23864,Lote urbanizado no construido
761470102000013020011000000000,23864,Lote urbanizado no construido
761470102000013020012000000000,23864,Lote urbanizado no construido
761470102000013020013000000000,23864,Lote urbanizado no construido
761470102000013020014000000000,23864,Lote urbanizado no construido
761470102000013020015000000000,23864,Lote urbanizado no construido
761470102000013020016000000000,23864,Lote urbanizado no construido
761470102000013020017000000000,23864,Lote urbanizado no construido
761470102000013020018000000000,23864,Lote urbanizado no construido
761470102000013020019000000000,23864,Lote urbanizado no construido
761470102000013020020000000000,23864,Lote urbanizado no construido
761470102000013020021000000000,23864,Lote urbanizado no construido
761470102000013020022000000000,23864,Lote urbanizado no construido
761470102000013020023000000000,23864,Lote urbanizado no construido
761470102000013020024000000000,23864,Lote urbanizado no construido
761470102000013020025000000000,23864,Lote urbanizado no construido
761470102000013020026000000000,23864,Lote urbanizado no construido
761470102000013020027000000000,23864,Lote urbanizado no construido
761470102000013020028000000000,23864,Lote urbanizado no construido
761470102000013020030000000000,23864,Lote urbanizado no construido
761470102000013020031000000000,23864,Lote urbanizado no construido
761470102000013020032000000000,23864,Lote urbanizado no construido
761470102000013020033000000000,23864,Lote urbanizado no construido
761470102000013030001000000000,23864,Lote urbanizado no construido
761470102000013030002000000000,23864,Lote urbanizado no construido
761470102000013030003000000000,23864,Lote urbanizado no construido
761470102000013030004000000000,23864,Lote urbanizado no construido
761470102000013030005000000000,23864,Lote urbanizado no construido
761470102000013030006000000000,23864,Lote urbanizado no construido
761470102000013030007000000000,23864,Lote urbanizado no construido
761470102000013030008000000000,23864,Lote urbanizado no construido
761470102000013030009000000000,23864,Lote urbanizado no construido
761470102000013030010000000000,23864,Lote urbanizado no construido
761470102000013030011000000000,23864,Lote urbanizado no construido
761470102000013030012000000000,23864,Lote urbanizado no construido
761470102000013030013000000000,23864,Lote urbanizado no construido
761470102000013030014000000000,23864,Lote urbanizado no construido
761470102000013030015000000000,23864,Lote urbanizado no construido
761470102000013030016000000000,23864,Lote urbanizado no construido
761470102000013030017000000000,23864,Lote urbanizado no construido
761470102000013030018000000000,23864,Lote urbanizado no construido
761470102000013030019000000000,23864,Lote urbanizado no construido
761470102000013030020000000000,23864,Lote urbanizado no construido
761470102000013030021000000000,23864,Lote urbanizado no construido
761470102000013030022000000000,23864,Lote urbanizado no construido
761470102000013030023000000000,23864,Lote urbanizado no construido
761470102000013030024000000000,23864,Habitacional
761470102000013030025000000000,23864,Habitacional
761470102000013030026000000000,23864,Lote urbanizado no construido
761470102000013030027000000000,23864,Lote urbanizado no construido
761470102000013030028000000000,23864,Habitacional
761470102000013030029000000000,23864,Lote urbanizado no construido
761470102000013030030000000000,23864,Lote urbanizado no construido
761470102000013030031000000000,23864,Lote urbanizado no construido
761470102000013030032000000000,23864,Habitacional
761470102000013030034000000000,23864,Lote urbanizado no construido
761470102000013030035000000000,23864,Lote urbanizado no construido
761470102000013030036000000000,23864,Habitacional
761470102000013030037000000000,23864,Habitacional
761470102000013030039000000000,23864,Habitacional
761470102000013030040000000000,23864,Habitacional
761470102000013030041000000000,23864,Lote urbanizado no construido
761470102000013030042000000000,23864,Lote urbanizado no construido
761470102000013030043000000000,23864,Lote urbanizado no construido
761470102000013030044000000000,23864,Lote urbanizado no construido
761470102000013030045000000000,23864,Lote urbanizado no construido
761470102000013030046000000000,23864,Lote urbanizado no construido
761470102000013030047000000000,23864,Lote urbanizado no construido
761470102000013040001000000000,23864,Lote urbanizado no construido
761470102000013040002000000000,23864,Lote urbanizado no construido
761470102000013040003000000000,23864,Lote urbanizado no construido
761470102000013040004000000000,23864,Lote urbanizado no construido
761470102000013040005000000000,23864,Lote urbanizado no construido
761470102000013040006000000000,23864,Lote urbanizado no construido
761470102000013040007000000000,23864,Lote urbanizado no construido
761470102000013040008000000000,23864,Lote urbanizado no construido
761470102000013040009000000000,23864,Lote urbanizado no construido
761470102000013040010000000000,23864,Lote urbanizado no construido
761470102000013040011000000000,23864,Lote urbanizado no construido
